livro;referencia;tema;categoria;dificuldade;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;correta;comentario
2 Samuel;2Sm 7:16;Promessas;Reino;Difícil;O que Deus prometeu estabelecer para Davi?;Seu exército;Seu reino;Seu palácio;Sua riqueza;B;A promessa aponta para o reino eterno do Messias.
1 Reis;1Rs 17:16;Milagres;Provisão;Média;O que não acabou na casa da viúva de Sarepta?;Água;Farinha e azeite;Lenha;Frutas;B;Deus sustentou a viúva durante a seca.
2 Reis;2Rs 6:17;Fé;Proteção;Difícil;O que o servo de Eliseu viu quando Deus abriu seus olhos?;Um exército inimigo;Exército celestial;Uma cidade;Anjos cantando;B;Os montes estavam cheios de cavalos e carros de fogo.
Salmos;Sl 27:1;Confiança;Coragem;Fácil;Se o Senhor é nossa luz, de quem teremos medo?;Dos inimigos;De ninguém;Da morte;Do futuro;B;A presença de Deus afasta o medo.
Provérbios;Pv 18:10;Deus;Proteção;Fácil;O nome do Senhor é comparado a quê?;Escudo;Torre forte;Montanha;Espada;B;Os justos encontram segurança no Senhor.
Isaías;Is 26:3;Paz;Confiança;Média;Quem Deus conserva em perfeita paz?;Os fortes;Quem confia nele;Os ricos;Os sábios;B;A paz acompanha quem mantém a mente em Deus.
Jeremias;Jr 17:7;Confiança;Esperança;Fácil;Quem é bendito, segundo Jeremias?;Quem confia no Senhor;Quem trabalha muito;Quem estuda;Quem governa;A;A confiança em Deus traz segurança.
Mateus;Mt 28:19;Missões;Grande Comissão;Fácil;O que Jesus ordenou aos discípulos fazer?;Construir templos;Fazer discípulos;Escolher reis;Escrever livros;B;A Grande Comissão envia a Igreja ao mundo.
Lucas;Lc 5:32;Salvação;Arrependimento;Média;Quem Jesus veio chamar?;Os justos;Os pecadores ao arrependimento;Os sacerdotes;Os romanos;B;Jesus oferece salvação aos que se arrependem.
João;Jo 10:27;Discipulado;Ovelhas;Média;O que as ovelhas de Jesus fazem?;Fogem;Ouvem sua voz;Seguem estranhos;Vivem sozinhas;B;Os verdadeiros discípulos reconhecem a voz de Cristo.
Atos;At 20:24;Missões;Perseverança;Difícil;O que Paulo desejava completar com alegria?;Sua viagem;Seu ministério;Sua prisão;Seu estudo;B;Paulo valorizava cumprir a missão recebida de Jesus.
Gênesis;Gn 41:16;Sabedoria;José;Média;A quem José atribuiu a interpretação dos sonhos?;A si mesmo;A Deus;Aos magos;Ao faraó;B;José reconheceu que a resposta vinha de Deus.
Êxodo;Êx 33:14;Presença de Deus;Promessa;Média;O que Deus prometeu a Moisés no deserto?;Vitória imediata;Sua presença;Riquezas;Um novo exército;B;Deus prometeu acompanhar seu povo.
Levítico;Lv 19:2;Santidade;Chamado;Fácil;Por que o povo deveria ser santo?;Porque era numeroso;Porque Deus é santo;Porque era rico;Porque era forte;B;A santidade do povo refletia o caráter de Deus.
Números;Nm 23:19;Deus;Fidelidade;Média;Deus é homem para quê?;Governar;Mentir;Julgar;Ensinar;B;Deus sempre cumpre sua palavra.
Deuteronômio;Dt 10:12;Vida Cristã;Temor;Média;Além de amar a Deus, o que Ele requer do seu povo?;Construir altares;Andar em seus caminhos;Conquistar cidades;Oferecer ouro;B;Temor, obediência e amor caminham juntos.
Josué;Js 23:10;Vitória;Promessas;Fácil;Quem lutava por Israel?;Josué;O Senhor;Os anjos;Calebe;B;As vitórias vinham do Senhor.
Juízes;Jz 6:14;Chamado;Gideão;Fácil;Como Deus enviou Gideão para libertar Israel?;Com um exército;Na força que ele tinha;Com riquezas;Como sacerdote;B;Deus usa quem Ele chama.
1 Samuel;1Sm 2:30;Honra;Princípios;Difícil;Quem Deus promete honrar?;Os fortes;Os que o honram;Os ricos;Os reis;B;Deus honra quem o honra.
2 Samuel;2Sm 24:24;Adoração;Sacrifício;Difícil;O que Davi não quis oferecer ao Senhor?;Algo sem valor;Sacrifícios que nada lhe custassem;Animais doentes;Incenso;B;A verdadeira adoração envolve entrega.
1 Reis;1Rs 18:39;Adoração;Monte Carmelo;Fácil;O que o povo declarou após o fogo cair do céu?;Baal é deus;Só o Senhor é Deus;Elias é rei;Israel venceu;B;O milagre levou o povo a reconhecer o Senhor.
2 Reis;2Rs 19:35;Livramento;Jerusalém;Difícil;Quem derrotou o exército assírio durante a noite?;Ezequias;O anjo do Senhor;Eliseu;Isaías;B;Deus livrou Jerusalém de forma milagrosa.
Salmos;Sl 34:8;Confiança;Bondade;Fácil;O que o salmista convida todos a fazer?;Jejuar;Provar e ver que o Senhor é bom;Subir ao templo;Ofertar;B;A experiência com Deus confirma sua bondade.
Provérbios;Pv 27:17;Relacionamentos;Amizade;Fácil;Como o ferro afia o ferro?;Pelo fogo;Assim o amigo fortalece o amigo;Com óleo;Com água;B;Boas amizades promovem crescimento.
Isaías;Is 43:2;Esperança;Proteção;Média;O que Deus prometeu nas águas e no fogo?;Retirar as provas;Estar com seu povo;Evitar dificuldades;Enviar anjos sempre;B;A presença de Deus sustenta nas lutas.
Jeremias;Jr 1:5;Chamado;Profetas;Média;Quando Deus conheceu Jeremias?;Na juventude;Antes de nascer;Após seu chamado;Na velhice;B;Deus já tinha propósito para Jeremias.
Mateus;Mt 6:21;Vida Cristã;Prioridades;Média;Onde estará o coração de uma pessoa?;Na família;Onde estiver seu tesouro;Na igreja;No trabalho;B;Nossos valores revelam nosso coração.
Marcos;Mc 9:23;Fé;Milagres;Fácil;Para quem tudo é possível, segundo Jesus?;Para os fortes;Para quem crê;Para os ricos;Para os sábios;B;Jesus destaca o poder da fé.
Lucas;Lc 15:7;Alegria;Arrependimento;Média;Há mais alegria no céu por causa de quê?;Uma festa;Um pecador que se arrepende;Um rei coroado;Uma grande oferta;B;Deus celebra o arrependimento.
João;Jo 14:27;Paz;Promessa;Fácil;Que presente Jesus deixou aos discípulos?;Prosperidade;Paz;Autoridade;Sabedoria;B;A paz de Cristo é diferente da paz do mundo.
Atos;At 1:11;Esperança;Segunda Vinda;Média;Como Jesus voltará, segundo os anjos?;Em segredo;Da mesma forma que subiu ao céu;Como criança;Somente em espírito;B;Os anjos anunciaram a volta de Cristo.
Gênesis;Gn 9:16;Aliança;Arco-íris;Fácil;Qual sinal Deus deu da aliança com Noé?;Oliveira;Arco-íris;Altar;Estrela;B;O arco-íris lembra a aliança de Deus com a humanidade.
Êxodo;Êx 15:2;Louvor;Vitória;Média;Após atravessar o mar, o que Moisés fez?;Construiu uma cidade;Cantou ao Senhor;Subiu ao monte;Jejuou;B;Moisés celebrou a vitória concedida por Deus.
Levítico;Lv 26:12;Presença de Deus;Aliança;Média;O que Deus prometeu fazer no meio do seu povo?;Enviar reis;Habitar entre eles;Dar ouro;Expandir fronteiras;B;Deus prometeu caminhar com seu povo.
Números;Nm 14:9;Fé;Conquista;Média;Por que Josué e Calebe não temiam Canaã?;Tinham mais soldados;O Senhor estava com eles;Conheciam a terra;Eram mais fortes;B;Eles confiaram na presença de Deus.
Deuteronômio;Dt 28:1;Obediência;Bênçãos;Fácil;As bênçãos seriam consequência de quê?;Da riqueza;Da obediência;Da idade;Da força;B;Deus prometeu abençoar o povo obediente.
Josué;Js 4:7;Memorial;Jordão;Média;Para que serviam as doze pedras retiradas do Jordão?;Construir um altar;Lembrar o milagre;Marcar território;Fazer armas;B;As pedras lembrariam às futuras gerações o agir de Deus.
Juízes;Jz 13:5;Chamado;Sansão;Difícil;Desde o nascimento, Sansão foi separado por qual voto?;Sacerdotal;Nazireu;Real;Profético;B;Sansão foi consagrado como nazireu.
1 Samuel;1Sm 17:47;Fé;Vitória;Média;Segundo Davi, a batalha pertence a quem?;A Israel;Ao Senhor;Ao rei;Ao exército;B;Davi declarou que Deus concede a vitória.
2 Samuel;2Sm 6:12;Adoração;Arca;Fácil;O que Davi levou para Jerusalém?;A coroa;A arca da aliança;A espada de Golias;O tabernáculo;B;A arca simbolizava a presença de Deus.
1 Reis;1Rs 19:18;Fidelidade;Remanescente;Difícil;Quantos Deus preservou que não adoraram Baal?;70;7;700;12;B;Deus sempre preservou um remanescente fiel.
2 Reis;2Rs 5:15;Gratidão;Naamã;Média;O que Naamã reconheceu após ser curado?;Sua força;Que só há um Deus;O poder do Jordão;A sabedoria do rei;B;Naamã reconheceu o Deus de Israel.
Salmos;Sl 19:1;Criação;Glória de Deus;Fácil;O que os céus proclamam?;A chuva;A glória de Deus;O tempo;As estrelas;B;A criação revela a grandeza do Criador.
Provérbios;Pv 3:6;Sabedoria;Direção;Média;O que Deus fará a quem o reconhecer?;Dará riquezas;Endireitará seus caminhos;Eliminará provas;Mudará seu passado;B;Reconhecer Deus traz direção.
Isaías;Is 40:8;Palavra de Deus;Eternidade;Fácil;O que permanece para sempre?;Os montes;A Palavra de Deus;Os reinos;As árvores;B;A Palavra do Senhor permanece eternamente.
Jeremias;Jr 32:27;Deus;Poder;Média;Existe algo difícil demais para Deus?;Sim;Não;Às vezes;A Bíblia não responde;B;Nada é impossível para Deus.
Mateus;Mt 18:20;Comunhão;Presença;Fácil;Onde Jesus prometeu estar?;No templo;Onde dois ou três se reúnem em seu nome;Somente no céu;Em Jerusalém;B;Cristo prometeu sua presença entre os reunidos em seu nome.
Marcos;Mc 10:27;Salvação;Poder de Deus;Média;O que é impossível aos homens?;É possível para Deus;Nunca acontecerá;Depende da fé;Não foi explicado;A;Jesus destacou o poder ilimitado de Deus.
Lucas;Lc 1:37;Promessas;Poder de Deus;Fácil;Para Deus, quantas de suas promessas falham?;Nenhuma;Algumas;Muitas;A Bíblia não diz;A;Nada é impossível para Deus.
João;Jo 8:36;Salvação;Liberdade;Média;Quem realmente pode libertar o ser humano?;A Lei;O Filho;Os profetas;Os anjos;B;Jesus concede verdadeira liberdade.
Atos;At 4:20;Evangelismo;Testemunho;Média;O que Pedro e João disseram não poder deixar de fazer?;Viajar;Falar do que viram e ouviram;Jejuar;Construir igrejas;B;Eles permaneceram firmes em anunciar Cristo.
Gênesis;Gn 6:22;Obediência;Noé;Fácil;Como Noé respondeu às ordens de Deus?;Obedeceu em tudo;Pediu mais tempo;Recusou;Mudou o plano;A;Noé fez tudo conforme Deus havia ordenado.
Gênesis;Gn 15:6;Fé;Abraão;Média;O que foi atribuído a Abraão por causa da sua fé?;Riqueza;Justiça;Sabedoria;Autoridade;B;Abraão creu em Deus, e isso lhe foi atribuído como justiça.
Êxodo;Êx 15:26;Cura;Promessa;Média;Como Deus se apresentou a Israel após o Êxodo?;Senhor da Guerra;Senhor que te sara;Deus dos Exércitos;Rei eterno;B;Deus revelou seu cuidado e poder para curar.
Levítico;Lv 26:3;Obediência;Bênçãos;Fácil;As bênçãos de Deus dependiam de quê?;Da força;Da obediência;Da idade;Da riqueza;B;Deus prometeu abençoar quem obedecesse aos seus mandamentos.
Números;Nm 11:23;Deus;Poder;Média;O braço do Senhor pode ser encurtado?;Sim;Não;Às vezes;Só no deserto;B;Nada limita o poder de Deus.
Deuteronômio;Dt 4:29;Busca;Relacionamento;Média;Quando Deus promete ser encontrado?;Quando for conveniente;Quando for buscado de todo o coração;Somente no templo;Após um sacrifício;B;Deus responde aos que o buscam sinceramente.
Josué;Js 21:45;Promessas;Fidelidade;Média;Quantas promessas de Deus falharam a Israel?;Uma;Nenhuma;Duas;Várias;B;Todas as promessas do Senhor se cumpriram.
Juízes;Jz 2:16;Livramento;Juízes;Média;Para que Deus levantava juízes em Israel?;Cobrar impostos;Libertar o povo;Escolher reis;Construir cidades;B;Os juízes libertavam Israel dos inimigos.
1 Samuel;1Sm 17:26;Fé;Davi;Fácil;Como Davi chamou Golias?;Gigante invencível;Filisteu incircunciso;Rei guerreiro;Homem forte;B;Davi confiava em Deus, não no tamanho do inimigo.
2 Samuel;2Sm 22:31;Palavra de Deus;Perfeição;Média;Como Davi descreveu o caminho de Deus?;Difícil;Perfeito;Misterioso;Longo;B;Davi exaltou a perfeição dos caminhos do Senhor.
1 Reis;1Rs 8:61;Fidelidade;Coração;Média;Como deveria estar o coração do povo diante de Deus?;Dividido;Inteiramente fiel;Cheio de medo;Indiferente;B;Salomão incentivou fidelidade completa ao Senhor.
2 Reis;2Rs 23:25;Reis;Josias;Difícil;Qual rei voltou-se ao Senhor de todo o coração?;Acaz;Josias;Acabe;Jeoacaz;B;Josias destacou-se por sua fidelidade à Lei.
Salmos;Sl 56:3;Confiança;Medo;Fácil;O que o salmista fazia quando sentia medo?;Escondia-se;Confiava em Deus;Fugia;Silenciava;B;A confiança em Deus vence o medo.
Provérbios;Pv 11:25;Generosidade;Princípios;Média;Quem será enriquecido, segundo Provérbios?;O egoísta;Quem é generoso;O poderoso;O comerciante;B;A generosidade produz bênçãos.
Isaías;Is 54:17;Proteção;Promessa;Média;O que prosperará contra os servos do Senhor?;Tudo;Nenhuma arma;Somente inimigos;Exércitos;B;Deus promete proteção ao seu povo.
Jeremias;Jr 9:23-24;Sabedoria;Glória;Difícil;Em que o ser humano deve se gloriar?;Na riqueza;Em conhecer o Senhor;Na força;Na inteligência;B;Conhecer Deus é o verdadeiro motivo de honra.
Mateus;Mt 5:9;Bem-aventuranças;Paz;Fácil;Quem será chamado filho de Deus?;Os fortes;Os pacificadores;Os ricos;Os líderes;B;Jesus valorizou quem promove a paz.
Marcos;Mc 1:17;Discipulado;Chamado;Fácil;Em que Jesus transformaria seus discípulos?;Sacerdotes;Pescadores de homens;Reis;Escribas;B;Eles passariam a anunciar o evangelho.
Lucas;Lc 6:38;Generosidade;Recompensa;Média;O que acontecerá a quem dá com generosidade?;Perderá tudo;Receberá também;Será esquecido;Nada mudará;B;Jesus ensinou o princípio da generosidade.
João;Jo 1:12;Salvação;Filhos de Deus;Média;Quem recebe o direito de ser chamado filho de Deus?;Todo ser humano;Quem recebe e crê em Jesus;Somente Israel;Os discípulos;B;A filiação é concedida aos que creem em Cristo.
Êxodo;Êx 25:8;Adoração;Tabernáculo;Fácil;Para que Deus pediu a construção do tabernáculo?;Guardar tesouros;Habitar no meio do povo;Reunir os reis;Ensinar a guerra;B;O tabernáculo simbolizava a presença de Deus entre Israel.
Êxodo;Êx 31:3;Dons;Habilidades;Média;Com o que Deus encheu Bezalel para construir o tabernáculo?;Força;Espírito de Deus;Riquezas;Fama;B;Bezalel recebeu sabedoria e habilidade dadas por Deus.
Levítico;Lv 23:3;Adoração;Sábado;Fácil;Qual dia era separado para descanso e adoração?;Sexto;Sétimo;Primeiro;Décimo;B;O sábado era santo ao Senhor.
Números;Nm 22:28;Milagres;Balaão;Média;Que animal falou com Balaão?;Cavalo;Jumenta;Camelo;Ovelha;B;Deus fez a jumenta falar para advertir Balaão.
Josué;Js 14:12;Fé;Calebe;Média;O que Calebe pediu como herança?;Jericó;Hebrom;Betel;Ai;B;Calebe confiou que Deus lhe daria Hebrom.
Juízes;Jz 7:20;Vitória;Gideão;Média;Que objetos os 300 homens de Gideão carregavam?;Espadas e escudos;Trombetas, Cântaros e Tochas;Arcos e lanças;Pedras e fundas;B;Deus deu a vitória por uma estratégia incomum.
1 Samuel;1Sm 7:12;Memorial;Samuel;Difícil;Qual nome Samuel deu à pedra em memória da ajuda de Deus?;Betel;Ebenézer;Gilgal;Siló;B;'Ebenézer' significa 'até aqui nos ajudou o Senhor'.
2 Reis;2Rs 20:11;Milagres;Ezequias;Difícil;Qual sinal Deus deu a Ezequias sobre sua cura?;Chuva;A sombra voltou;Fogo do céu;Terremoto;B;A sombra retrocedeu como sinal da promessa.
Salmos;Sl 1:1;Vida Cristã;Sabedoria;Fácil;Quem é considerado bem-aventurado no Salmo 1?;Quem evita o caminho dos ímpios;Quem acumula riquezas;Quem vence batalhas;Quem governa;A;O salmo destaca quem escolhe o caminho do Senhor.
Provérbios;Pv 6:6;Sabedoria;Trabalho;Fácil;Com qual animal o preguiçoso deve aprender?;Leão;Formiga;Águia;Cordeiro;B;A formiga é exemplo de diligência.
Isaías;Is 6:3;Adoração;Santidade;Média;O que os serafins proclamavam diante do trono?;Glória;Santo, Santo, Santo;Aleluia;Hosana;B;Eles exaltavam a santidade de Deus.
Ezequiel;Ez 37:5;Esperança;Vale de Ossos;Difícil;O que Deus prometeu colocar nos ossos secos?;Fogo;Fôlego de vida;Água;Luz;B;A visão simboliza restauração.
Mateus;Mt 7:12;Vida Cristã;Regra de Ouro;Fácil;Como devemos tratar as pessoas?;Como queremos ser tratados;Como elas nos tratam;Conforme a lei;Com distância;A;Jesus resumiu o relacionamento com o próximo.
Mateus;Mt 25:13;Segunda Vinda;Vigilância;Média;Na parábola das dez virgens qual era o ensino principal?;Economizar azeite;Vigiar;Viajar;Casar;B;Os discípulos devem estar preparados.
Lucas;Lc 2:14;Louvor;Nascimento de Jesus;Fácil;O que os anjos anunciaram aos homens?;Guerra;Paz na terra;Nova lei;Novo templo;B;Os anjos celebraram o nascimento do Salvador.
João;Jo 4:24;Adoração;Espírito e Verdade;Média;Como Deus deve ser adorado?;Com riqueza;Em espírito e em verdade;Somente no templo;Apenas aos sábados;B;Jesus ensinou a verdadeira adoração.
Atos;At 9:36;Serviço;Dorcas;Média;Por que Dorcas era conhecida?;Pelas viagens;Boas obras e ajuda aos necessitados;Pregações;Milagres;B;Dorcas servia a comunidade com amor.
Romanos;Rm 12:21;Vida Cristã;Bondade;Média;Como vencer o mal?;Com força;Com o bem;Com vingança;Com silêncio;B;Paulo ensina a responder ao mal com o bem.
Gálatas;Gl 5:1;Liberdade;Salvação;Média;Para que Cristo nos libertou?;Para voltar à escravidão;Para vivermos em liberdade;Para governar;Para enriquecer;B;Cristo concede verdadeira liberdade.
Apocalipse;Ap 3:20;Jesus;Comunhão;Fácil;O que Jesus faz antes de entrar?;Arromba a porta;Bate à porta;Envia um anjo;Espera em silêncio;B;Jesus convida mas respeita a decisão de cada pessoa.
Êxodo;Êx 35:35;Dons;Serviço;Média;Para qual finalidade Deus deu habilidade a Bezalel e Aoliabe?;Liderar batalhas;Construir o tabernáculo;Escrever a Lei;Governar Israel;B;Deus capacitou ambos para toda a obra do tabernáculo.
Levítico;Lv 19:11;Santidade;Honestidade;Fácil;O que Deus proibiu em Levítico 19:11?;Mentir e furtar;Jejuar;Viajar;Construir altares;A;Deus ordenou que seu povo fosse honesto em suas atitudes.
Levítico;Lv 19:18;Amor;Próximo;Fácil;Como devemos amar o próximo?;Como a nós mesmos;Mais que a família;Somente os irmãos;Somente os amigos;A;Jesus reafirmou esse mandamento no Novo Testamento.
Números;Nm 6:24-26;Bênçãos;Sacerdotal;Média;Quem recebeu a missão de pronunciar a bênção sacerdotal?;Josué;Arão e seus filhos;Moisés;Os levitas;B;A bênção sacerdotal deveria ser proclamada pelos sacerdotes.
Deuteronômio;Dt 8:2;Memória;Humildade;Média;Por que Deus conduziu Israel pelo deserto durante quarenta anos?;Para aumentar o exército;Para provar e ensinar o povo;Para encontrar outra terra;Para construir cidades;B;O deserto ensinou dependência e obediência.
Josué;Js 5:13-14;Presença de Deus;Conquista;Difícil;Quem apareceu a Josué antes da conquista de Jericó?;O profeta Samuel;O comandante do exército do Senhor;Moisés;Um anjo comum;B;Josué encontrou o comandante do exército do Senhor.
Juízes;Jz 5:31;Vitória;Louvor;Difícil;Quem cantou um cântico após a vitória sobre Sísera?;Rute e Noemi;Débora e Baraque;Gideão e Samuel;Ana e Eli;B;Débora e Baraque louvaram a Deus pela vitória.
1 Samuel;1Sm 16:13;Espírito Santo;Unção;Média;O que aconteceu com Davi após ser ungido por Samuel?;Foi coroado imediatamente;O Espírito do Senhor veio sobre ele;Mudou de cidade;Entrou no templo;B;A unção marcou o início da preparação de Davi.
2 Samuel;2Sm 23:3;Justiça;Liderança;Difícil;Como deve governar quem lidera o povo de Deus?;Com força;Com justiça e temor de Deus;Com riqueza;Com popularidade;B;Davi ensinou que o verdadeiro governo depende do temor do Senhor.
1 Reis;1Rs 18:36;Oração;Resposta;Média;Qual era o objetivo da oração de Elias no Carmelo?;Receber chuva;Mostrar que o Senhor é Deus;Destruir o altar;Convencer o rei;B;Elias desejava que todo o povo reconhecesse o Senhor.
2 Reis;2Rs 4:43;Milagres;Provisão;Média;O que aconteceu com os vinte pães oferecidos a Eliseu?;Estragaram;Alimentaram cem homens e ainda sobraram;Foram vendidos;Viraram farinha;B;Deus multiplicou a provisão para o povo.
Salmos;Sl 51:10;Arrependimento;Oração;Fácil;O que Davi pediu que Deus criasse nele?;Um reino;Um coração puro;Mais riquezas;Mais força;B;Após seu arrependimento, Davi pediu transformação interior.
Provérbios;Pv 15:3;Deus;Onisciência;Média;O que os olhos do Senhor observam?;Somente os justos;Bons e maus;Somente Israel;Somente os reis;B;Nada escapa ao olhar de Deus.
Isaías;Is 1:18;Perdão;Graça;Média;O que Deus promete fazer com os pecados arrependidos?;Escondê-los;Torná-los brancos como a neve;Ignorá-los;Lembrá-los sempre;B;Deus oferece perdão completo ao arrependido.
Jeremias;Jr 20:9;Palavra de Deus;Chamado;Difícil;Como Jeremias descreveu a Palavra de Deus em seu coração?;Como vento;Como fogo ardente;Como água;Como espada;B;Mesmo querendo calar-se, Jeremias não conseguia conter a Palavra.
Mateus;Mt 13:58;Fé;Incredulidade;Média;Por que Jesus realizou poucos milagres em Nazaré?;Faltava tempo;Por causa da incredulidade;Porque estava cansado;Porque era sábado;B;A incredulidade do povo marcou aquele momento.
Marcos;Mc 2:17;Salvação;Chamado;Fácil;Quem Jesus disse que veio chamar?;Os justos;Os pecadores;Os sacerdotes;Os reis;B;Jesus veio chamar pecadores ao arrependimento.
Lucas;Lc 17:5;Fé;Crescimento;Fácil;O que os apóstolos pediram a Jesus?;Mais sabedoria;Aumenta-nos a fé;Mais riquezas;Mais tempo;B;Eles reconheceram a necessidade de crescer na fé.
João;Jo 6:68;Jesus;Vida Eterna;Média;Por que Pedro decidiu permanecer com Jesus?;Porque não tinha para onde ir;Porque Jesus tinha as palavras de vida eterna;Porque era pescador;Porque viu milagres;B;Pedro reconheceu que somente Jesus oferece vida eterna.
Atos;At 17:28;Deus;Dependência;Difícil;Segundo Paulo, em quem vivemos, nos movemos e existimos?;Na natureza;Em Deus;Na igreja;Na lei;B;Paulo ensinou que toda a vida depende de Deus.
Êxodo;Êx 40:34;Presença de Deus;Tabernáculo;Média;O que cobriu o tabernáculo quando sua construção foi concluída?;Uma tempestade;A nuvem da glória do Senhor;Uma coluna de fogo;Um arco-íris;B;A glória do Senhor encheu o tabernáculo.
Levítico;Lv 10:3;Santidade;Sacerdócio;Difícil;O que Deus declarou após a morte de Nadabe e Abiú?;Aceitarei qualquer oferta;Serei santificado pelos que se aproximam de mim;Não haverá mais sacerdotes;Todos serão perdoados;B;Deus exige reverência em sua presença.
Números;Nm 14:8;Fé;Terra Prometida;Média;Segundo Josué e Calebe, o que Deus faria se se agradasse do povo?;Enviaria outro líder;Os faria entrar na terra prometida;Acabaria com o deserto;Derrotaria Moisés;B;Eles confiaram na promessa do Senhor.
Deuteronômio;Dt 30:16;Obediência;Escolhas;Média;O que Moisés disse que acompanha a obediência a Deus?;Fracasso;Vida e bênção;Somente riqueza;Popularidade;B;A obediência conduz à vida e às bênçãos do Senhor.
Josué;Js 6:20;Milagres;Jericó;Fácil;O que aconteceu quando o povo gritou em Jericó?;Começou uma chuva;As muralhas caíram;O rio secou;O exército fugiu;B;Deus entregou a cidade ao seu povo.
Juízes;Jz 16:28;Oração;Sansão;Média;O que Sansão pediu a Deus antes de derrubar o templo?;Mais riquezas;Força pela última vez;Um novo exército;Perdão aos filisteus;B;Deus fortaleceu Sansão para sua última batalha.
1 Samuel;1Sm 3:19;Chamado;Samuel;Fácil;O que acontecia com as palavras de Samuel?;Eram esquecidas;Nenhuma caía por terra;Eram escritas em pedra;Somente Eli as ouvia;B;Deus confirmava a palavra do profeta Samuel.
2 Samuel;2Sm 22:33;Força;Confiança;Média;Quem era a força de Davi?;Seu exército;Deus;Joabe;Seu povo;B;Davi reconhecia Deus como sua força e proteção.
1 Reis;1Rs 18:21;Decisão;Fidelidade;Média;Que escolha Elias propôs ao povo no monte Carmelo?;Escolher um rei;Decidir entre o Senhor e Baal;Construir um templo;Mudar de cidade;B;Não é possível servir a dois senhores.
2 Reis;2Rs 6:16;Confiança;Proteção;Fácil;O que Eliseu disse ao seu servo ao ver o exército inimigo?;Vamos fugir;Os que estão conosco são mais numerosos;Estamos perdidos;Espere até amanhecer;B;Deus tinha um exército celestial protegendo-os.
Salmos;Sl 27:14;Esperança;Confiança;Fácil;O que o salmista recomenda enquanto esperamos no Senhor?;Desistir;Ter bom ânimo;Dormir;Silenciar;B;Esperar em Deus fortalece o coração.
Provérbios;Pv 22:1;Sabedoria;Caráter;Fácil;O que é melhor do que muitas riquezas?;Fama;Bom nome;Poder;Conhecimento;B;O caráter vale mais do que os bens materiais.
Isaías;Is 55:11;Palavra de Deus;Promessas;Média;Como volta a Palavra que sai da boca de Deus?;Sem resultado;Cumprindo seu propósito;Mais fraca;Transformada;B;A Palavra de Deus sempre realiza sua missão.
Jeremias;Jr 17:9;Natureza Humana;Coração;Difícil;Como Jeremias descreve o coração humano?;Sempre puro;Enganoso;Perfeito;Inabalável;B;O profeta destaca a necessidade da transformação de Deus.
Mateus;Mt 7:24;Ensinos;Prática da Palavra;Média;Quem é comparado ao homem prudente?;Quem conhece a Lei;Quem ouve e pratica as palavras de Jesus;Quem frequenta o templo;Quem jejua;B;A obediência é o fundamento seguro.
Marcos;Mc 4:40;Fé;Tempestade;Média;O que Jesus perguntou aos discípulos após acalmar o mar?;Quem remou melhor?;Por que vocês têm tão pouca fé?;Quem gritou primeiro?;Onde estava Pedro?;B;Jesus os chamou a confiar mais nele.
Lucas;Lc 10:27;Amor;Maior Mandamento;Fácil;Além de amar a Deus, quem devemos amar?;Somente a família;O próximo como a nós mesmos;Apenas os amigos;Somente os irmãos;B;O amor ao próximo resume a vontade de Deus.
João;Jo 15:12;Amor;Mandamento;Fácil;Como Jesus mandou seus discípulos se amarem?;Como cada um achar melhor;Como Ele os amou;Somente quando concordarem;Apenas na igreja;B;O amor de Cristo é o modelo do cristão.
Atos;At 2:42;Igreja;Comunhão;Média;Em quais práticas a igreja primitiva perseverava?;Somente nas ofertas;Doutrina, comunhão, partir do pão e orações;Construção de templos;Viagens missionárias;B;Essas práticas fortaleciam a igreja.
Romanos;Rm 8:1;Salvação;Graça;Média;Qual é a condição de quem está em Cristo Jesus?;Ainda está condenado;Não há condenação;Precisa cumprir toda a Lei;Será julgado duas vezes;B;A obra de Cristo remove a condenação dos que nele creem.
1 Coríntios;1Co 3:16;Espírito Santo;Templo de Deus;Média;Segundo Paulo, quem é o templo de Deus?;Somente os apóstolos;Os que creem em Cristo;O templo de Jerusalém;Os sacerdotes;B;O Espírito Santo habita na vida dos que pertencem a Cristo.
1 Coríntios;1Co 10:31;Vida Cristã;Glória de Deus;Fácil;Para qual propósito devemos fazer todas as coisas?;Para nossa fama;Para a glória de Deus;Para agradar as pessoas;Para obter recompensas;B;Toda a vida do cristão deve glorificar a Deus.
1 Coríntios;1Co 16:13;Vida Cristã;Vigilância;Média;Qual atitude Paulo recomenda aos cristãos?;Descansar sempre;Vigiar e permanecer firmes na fé;Evitar dificuldades;Buscar reconhecimento;B;A firmeza na fé é essencial para o cristão.
2 Coríntios;2Co 9:7;Generosidade;Ofertas;Fácil;Como Deus ama quem oferta?;Com tristeza;Com alegria;Sem interesse;Da mesma forma que todos;B;A generosidade deve ser voluntária e alegre.
Gálatas;Gl 6:9;Perseverança;Boas Obras;Média;O que Paulo aconselha sobre fazer o bem?;Parar quando cansar;Não desanimar;Esperar reconhecimento;Fazer somente aos amigos;B;No tempo certo colheremos se não desistirmos.
Efésios;Ef 4:32;Relacionamentos;Perdão;Fácil;Como devemos tratar uns aos outros?;Com dureza;Com bondade e perdão;Com indiferença;Com superioridade;B;Cristo é nosso exemplo de perdão.
